sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor,in,out,nhIP,initialFlags,sessionFlags,attributes,application,class,type,sTime+msec,eTime+msec,dur+msec,iType,iCode,scc,dcc
192.168.1.3,224.0.0.252,60261,5355,17,2,114,,1445738421.670,0.103,1445738421.773,S0,0,0,0.0.0.0,,,S,53,all,out,1445738421.670,1445738421.773,0.103,,,--,--
192.168.1.100,255.255.255.255,41147,63146,17,1,162,,1445738468.985,0.000,1445738468.985,S0,0,0,0.0.0.0,,,,0,all,out,1445738468.985,1445738468.985,0.000,,,--,--
192.168.1.3,224.0.0.252,64371,5355,17,2,114,,1445738481.781,0.102,1445738481.883,S0,0,0,0.0.0.0,,,S,53,all,out,1445738481.781,1445738481.883,0.102,,,--,--
192.168.1.3,239.255.255.250,49728,1900,17,12,1932,,1445738436.726,73.016,1445738509.742,S0,0,0,0.0.0.0,,,S,80,all,out,1445738436.726,1445738509.742,73.016,,,--,--
192.168.1.8,224.0.0.251,5353,5353,17,59,25553,,1445738496.630,19.048,1445738515.678,S0,0,0,0.0.0.0,,,,53,all,out,1445738496.630,1445738515.678,19.048,,,--,--
192.168.1.3,224.0.0.252,53004,5355,17,2,114,,1445738541.585,0.102,1445738541.687,S0,0,0,0.0.0.0,,,S,53,all,out,1445738541.585,1445738541.687,0.102,,,--,--
192.168.1.3,224.0.0.252,53256,5355,17,2,114,,1445738601.593,0.103,1445738601.696,S0,0,0,0.0.0.0,,,S,53,all,out,1445738601.593,1445738601.696,0.103,,,--,--
192.168.1.3,224.0.0.252,53913,5355,17,2,114,,1445738661.704,0.102,1445738661.806,S0,0,0,0.0.0.0,,,S,53,all,out,1445738661.704,1445738661.806,0.102,,,--,--
192.168.1.9,224.0.0.22,0,0,2,2,80,,1445738683.209,3.072,1445738686.281,S0,0,0,0.0.0.0,,,S,0,all,out,1445738683.209,1445738686.281,3.072,,,--,--
192.168.1.6,224.0.0.251,5353,5353,17,1,132,,1445738706.874,0.000,1445738706.874,S0,0,0,0.0.0.0,,,,53,all,out,1445738706.874,1445738706.874,0.000,,,--,--
