sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor,in,out,nhIP,initialFlags,sessionFlags,attributes,application,class,type,sTime+msec,eTime+msec,dur+msec,iType,iCode,scc,dcc
192.168.1.11,23.235.46.162,57930,443,6,16,1542,FSRPA,2015/10/22T03:47:03.732,0.063,2015/10/22T03:47:03.795,S0,0,0,0.0.0.0,S,FRPA,,443,all,outweb,2015/10/22T03:47:03.732,2015/10/22T03:47:03.795,0.063,,,--,us
192.168.1.11,23.235.46.162,57930,443,6,1,40,R,2015/10/22T03:47:03.795,0.000,2015/10/22T03:47:03.795,S0,0,0,0.0.0.0,R,,,0,all,outweb,2015/10/22T03:47:03.795,2015/10/22T03:47:03.795,0.000,,,--,us
192.168.1.11,192.30.252.129,33117,443,6,10,1212,FSRPA,2015/10/22T03:47:03.752,0.087,2015/10/22T03:47:03.839,S0,0,0,0.0.0.0,S,FRPA,,443,all,outweb,2015/10/22T03:47:03.752,2015/10/22T03:47:03.839,0.087,,,--,us
192.168.1.11,192.30.252.129,33117,443,6,1,40,R,2015/10/22T03:47:03.839,0.000,2015/10/22T03:47:03.839,S0,0,0,0.0.0.0,R,,,0,all,outweb,2015/10/22T03:47:03.839,2015/10/22T03:47:03.839,0.000,,,--,us
192.168.1.11,23.235.46.162,57933,443,6,19,1652,FSRPA,2015/10/22T03:47:03.766,0.086,2015/10/22T03:47:03.852,S0,0,0,0.0.0.0,S,FRPA,,443,all,outweb,2015/10/22T03:47:03.766,2015/10/22T03:47:03.852,0.086,,,--,us
192.168.1.11,23.235.46.162,57933,443,6,1,40,R,2015/10/22T03:47:03.852,0.000,2015/10/22T03:47:03.852,S0,0,0,0.0.0.0,R,,,0,all,outweb,2015/10/22T03:47:03.852,2015/10/22T03:47:03.852,0.000,,,--,us
192.168.1.11,23.235.46.162,57935,443,6,15,1452,FSRPA,2015/10/22T03:47:03.780,0.085,2015/10/22T03:47:03.865,S0,0,0,0.0.0.0,S,FRPA,,443,all,outweb,2015/10/22T03:47:03.780,2015/10/22T03:47:03.865,0.085,,,--,us
192.168.1.11,23.235.46.162,57935,443,6,1,40,R,2015/10/22T03:47:03.866,0.000,2015/10/22T03:47:03.866,S0,0,0,0.0.0.0,R,,,0,all,outweb,2015/10/22T03:47:03.866,2015/10/22T03:47:03.866,0.000,,,--,us
192.168.1.11,23.235.46.162,57934,443,6,23,1884,FSRPA,2015/10/22T03:47:03.771,0.095,2015/10/22T03:47:03.866,S0,0,0,0.0.0.0,S,FRPA,,443,all,outweb,2015/10/22T03:47:03.771,2015/10/22T03:47:03.866,0.095,,,--,us
192.168.1.11,23.235.46.162,57934,443,6,1,40,R,2015/10/22T03:47:03.867,0.000,2015/10/22T03:47:03.867,S0,0,0,0.0.0.0,R,,,0,all,outweb,2015/10/22T03:47:03.867,2015/10/22T03:47:03.867,0.000,,,--,us
192.168.1.11,23.235.46.162,57936,443,6,10,1182,FSRPA,2015/10/22T03:47:03.825,0.082,2015/10/22T03:47:03.907,S0,0,0,0.0.0.0,S,FRPA,,443,all,outweb,2015/10/22T03:47:03.825,2015/10/22T03:47:03.907,0.082,,,--,us
